"ID","Registry name","Tags"
64,"biomeswevegone:cika_woods","immersive_weathering:has_ivy, fishofthieves:spawns_battlegills, biomeswevegone:density/dense, minecraft:is_forest, wildernature:spawns_boar, naturalist:has_firefly, spawn:small_anthill_generates, forge:is_flutterfly, naturalist:has_cardinal, forge:is_dense, naturalist:has_deer, forge:is_generalnotemp, exoticbirds:is_tropic_bird_spawn, biomeswevegone:forest, naturalist:has_snake, naturalist:has_finch, minecraft:has_structure/stronghold, exoticbirds:is_forest_bird_spawn, naturalist:has_bear, biomeswevegone:coniferous, biomeswevegone:has_structure/village_pumpkin_patch, fishofthieves:spawns_devilfish, naturalist:has_boar, forge:is_dense/overworld, delightful:salmonberry_spawns, wildernature:spawns_hedgehog, dynamictrees:is_bee_nest_rare, goodending:spicy_wildflower_generates, minecraft:has_structure/ruined_portal_standard, forge:is_general, naturalist:has_butterfly, minecraft:is_overworld, naturalist:has_lizard, twigs:spawns_twig, forge:forest, waddles:spawn_exclude, forge:is_goblin, crittersandcompanions:silk_cocoon_spawns, naturalist:has_snail, wildernature:spawns_owl, forge:is_generalnotempcave, c:forest, forge:is_generalcave, wildernature:spawns_deer, wildernature:spawns_turkey, naturalist:has_robin, bakery:spawns_strawberries, vinery:spawns_grape, forge:overworld/in, c:in_overworld, biomeswevegone:overworld, forge:is_coniferous, exoticbirds:is_hummingbird_spawn, minecraft:has_structure/mineshaft, exoticbirds:is_peafowl_spawn, fishofthieves:spawns_pondies"
65,"terralith:cloud_forest","wildernature:spawns_boar, dynamictrees:is_bee_nest_rare, forge:is_cold/overworld, exoticbirds:is_hummingbird_spawn, forge:is_mountainous, croptopia:has_crop/cauliflower, minecraft:has_structure/mineshaft, naturalist:has_snail, forge:is_generalnotempcave, forge:is_flutterfly, crittersandcompanions:silk_cocoon_spawns, wildernature:spawns_owl, naturalist:has_boar, forge:forest, forge:is_general, wildernature:spawns_hedgehog, minecraft:is_overworld, forge:is_cold, naturalist:has_firefly, exoticbirds:is_forest_bird_spawn, naturalist:has_cardinal, forge:is_coniferous, minecraft:has_structure/ruined_portal_mountain, c:flower_forests, croptopia:has_crop/blackberry, fruitsdelight:plants/persimmon_biomes, terralith:all_terralith_biomes_no_mineshafts, forge:taiga, spawn:small_anthill_generates, vinery:spawns_cherry_tree, c:climate_cold, minecraft:is_forest, c:taiga, forge:floral, croptopia:has_crop/grape, forge:cold/climate, minecraft:has_structure/stronghold, croptopia:has_crop/elderberry, immersive_weathering:has_ivy, croptopia:has_crop/blackbean, croptopia:has_crop/spinach, croptopia:has_crop/tomato, croptopia:has_crop/blueberry, forge:is_generalcave, croptopia:has_crop/strawberry, naturalist:has_bear, twigs:spawns_twig, croptopia:has_crop/tea_leaves, exoticbirds:is_tropic_bird_spawn, fishofthieves:spawns_battlegills, croptopia:has_crop/raspberry, croptopia:has_crop/cantaloupe, forge:overworld/in, croptopia:has_crop/radish, c:tree_coniferous, naturalist:has_canary, wildernature:spawns_deer, naturalist:has_butterfly, goodending:spicy_wildflower_generates, forge:coniferous/tree, terralith:has_structure/rubble_forest, fruitsdelight:compat/cold, fruitsdelight:plants/blueberry_biomes, naturalist:has_snake, c:forest, forge:is_goblin, naturalist:has_lizard, vinery:spawns_grape, naturalist:has_bluejay, exoticbirds:is_peafowl_spawn, delightful:salmonberry_spawns, naturalist:has_deer, biome_tag_villagers:villager_taiga, minecraft:is_hill, forge:forests/flower, forge:is_generalnotemp, naturalist:has_robin, croptopia:has_crop/tomatillo, fishofthieves:spawns_devilfish, croptopia:has_crop/celery, c:in_overworld, wildernature:spawns_turkey, waddles:spawn_exclude, fishofthieves:spawns_pondies, terralith:all_terralith_biomes, naturalist:has_finch, fruitsdelight:plants/hawberry_biomes, bakery:spawns_strawberries, minecraft:has_structure/ruined_portal_standard, c:floral"
66,"biomesoplenty:clover_patch","forge:is_wet/overworld, naturalist:has_snail, exoticbirds:is_hummingbird_spawn, forge:overworld/in, minecraft:has_structure/pillager_outpost, naturalist:has_snake, naturalist:has_firefly, forge:is_sparse, minecraft:has_structure/mineshaft, minecraft:has_structure/ruined_portal_standard, c:in_overworld, minecraft:has_structure/stronghold, minecraft:is_overworld, forge:is_lush, exoticbirds:is_peafowl_spawn, forge:is_sparse/overworld, forge:is_eyestalker, minecraft:stronghold_biased_to, naturalist:has_butterfly, forge:is_plains, forge:is_general, forge:is_generalnotempcave, immersive_weathering:wet, fishofthieves:spawns_battlegills, forge:is_goblin, naturalist:has_sparrow, naturalist:has_robin, forge:is_wet, forge:is_generalnotemp, forge:is_generalcave, minecraft:has_structure/village_plains, delightful:mini_melon_spawns, fishofthieves:spawns_devilfish"
67,"regions_unexplored:clover_plains","minecraft:has_structure/stronghold, forge:is_generalcave, forge:is_plains, forge:overworld/in, forge:is_generalnotempcave, minecraft:is_overworld, naturalist:has_snake, forge:is_eyestalker, naturalist:has_firefly, naturalist:has_sparrow, forge:is_goblin, naturalist:has_snail, forge:is_generalnotemp, fishofthieves:spawns_battlegills, exoticbirds:is_hummingbird_spawn, minecraft:stronghold_biased_to, exoticbirds:is_peafowl_spawn, delightful:mini_melon_spawns, fishofthieves:spawns_devilfish, naturalist:has_robin, c:in_overworld, naturalist:has_butterfly, forge:is_general, minecraft:has_structure/mineshaft"
68,"biomeswevegone:coconino_meadow","biomeswevegone:overworld, minecraft:is_overworld, naturalist:has_robin, naturalist:has_butterfly, c:in_overworld, forge:is_generalnotempcave, fishofthieves:spawns_devilfish, forge:is_goblin, naturalist:has_firefly, forge:is_general, forge:is_generalcave, forge:is_generalnotemp, fishofthieves:spawns_battlegills, delightful:mini_melon_spawns, forge:is_eyestalker, naturalist:has_snake, forge:is_plains, biomeswevegone:floral, naturalist:has_snail, minecraft:has_structure/stronghold, biomeswevegone:plains, exoticbirds:is_hummingbird_spawn, forge:overworld/in, naturalist:has_sparrow, exoticbirds:is_peafowl_spawn"
69,"regions_unexplored:cold_boreal_taiga","fishofthieves:spawns_devilfish, minecraft:is_overworld, minecraft:spawns_snow_foxes, waddles:spawn_include, forge:is_general, c:in_overworld, minecraft:has_structure/stronghold, forge:is_cold, forge:overworld/in, naturalist:has_bluejay, minecraft:has_structure/village_snowy, minecraft:spawns_white_rabbits, backported_wolves:spawns_snowy_wolf, alexsmobs:spawns_white_seals, fishofthieves:spawns_battlegills, forge:is_cold/overworld, immersive_weathering:icy, minecraft:spawns_cold_variant_frogs, forge:is_snowy, minecraft:stronghold_biased_to, minecraft:has_structure/igloo, forge:is_generalcave, minecraft:has_structure/mineshaft"
70,"regions_unexplored:cold_deciduous_forest","c:in_overworld, minecraft:spawns_snow_foxes, waddles:spawn_include, naturalist:has_bluejay, forge:is_cold, fishofthieves:spawns_battlegills, minecraft:has_structure/mineshaft, minecraft:is_overworld, backported_wolves:spawns_snowy_wolf, immersive_weathering:icy, forge:is_generalcave, minecraft:spawns_cold_variant_frogs, minecraft:stronghold_biased_to, minecraft:has_structure/stronghold, alexsmobs:spawns_white_seals, forge:is_general, forge:is_snowy, forge:overworld/in, fishofthieves:spawns_devilfish, minecraft:spawns_white_rabbits, forge:is_cold/overworld"
71,"biomesoplenty:cold_desert","immersive_weathering:icy, minecraft:has_structure/stronghold, minecraft:has_structure/ruined_portal_desert, c:in_overworld, minecraft:has_structure/igloo, minecraft:is_overworld, backported_wolves:spawns_snowy_wolf, forge:is_generalcave, fruitsdelight:compat/desert, forge:is_sparse, forge:overworld/in, waddles:spawn_include, forge:is_dry, forge:is_cold, alexsmobs:spawns_white_seals, minecraft:has_structure/pillager_outpost, minecraft:spawns_white_rabbits, fishofthieves:spawns_battlegills, minecraft:stronghold_biased_to, forge:is_general, tumbleweed:whitelist, fruitsdelight:plants/hamimelon_biomes, fishofthieves:spawns_devilfish, naturalist:has_bluejay, forge:is_cold/overworld, forge:is_dry/overworld, forge:is_sparse/overworld, minecraft:spawns_snow_foxes, forge:is_snowy, minecraft:has_structure/mineshaft, minecraft:has_structure/village_snowy, minecraft:spawns_cold_variant_frogs"
72,"minecraft:cold_ocean","upgrade_aquatic:has_feature/ammonite_ore, upgrade_aquatic:has_feature/prismarine_coral, minecraft:is_overworld, minecraft:plays_underwater_music, c:ocean, c:aquatic, goodending:tuff_boulder_generates, fishofthieves:spawns_devilfish, minecraft:water_on_map_outlines, forge:is_general, fishofthieves:spawns_ocean_wildsplash, forge:is_water, forge:is_generalcave, forge:is_cold/overworld, salt:has_rock_salt_deposits, sereneseasons:blacklisted_biomes, forge:is_waterbased, fishofthieves:spawns_stormfish, immersive_weathering:wet, c:shallow_ocean, minecraft:has_structure/ocean_ruin_cold, fishofthieves:spawns_wildsplash, upgrade_aquatic:has_spawn/thrasher, upgrade_aquatic:has_carver/underwater_canyon, minecraft:is_ocean, forge:overworld/in, forge:with_default_monster_spawns, forge:wet/climate, minecraft:has_structure/mineshaft, fishofthieves:has_fish_bone, forge:ocean, forge:aquatic, c:in_overworld, fishofthieves:spawns_islehoppers, c:climate_wet, fishofthieves:has_seapost, fishofthieves:islehopper_spawn_at_coast, bloomingnature:overworld, upgrade_aquatic:has_feature/driftwood, fishofthieves:spawns_wreckers, minecraft:has_structure/ruined_portal_ocean, fishofthieves:spawns_splashtails, twigs:spawns_sea_shell, fishofthieves:spawns_battlegills, forge:ocean/shallow, spawn:tuna_spawns, forge:is_cold, minecraft:has_structure/shipwreck, minecraft:required_ocean_monument_surrounding, minecraft:has_structure/stronghold"
73,"regions_unexplored:cold_river","c:climate_wet, minecraft:water_on_map_outlines, fishofthieves:spawns_battlegills, minecraft:is_overworld, naturalist:has_snail, c:river, upgrade_aquatic:has_feature/river_tree, fishofthieves:spawns_pondies, forge:is_general, forge:is_waterbased, fishofthieves:has_fish_bone, exoticbirds:is_pelican_spawn, minecraft:reduce_water_ambient_spawns, forge:river, immersive_weathering:wet, forge:is_water, c:in_overworld, exoticbirds:is_hummingbird_spawn, immersive_weathering:has_silt, forge:overworld/in, upgrade_aquatic:has_feature/beachgrass, forge:is_generalnotemp, forge:aquatic, exoticbirds:is_water_bird_spawn, forge:is_generalcave, minecraft:plays_underwater_music, naturalist:has_coral_snake, minecraft:has_structure/mineshaft, vinery:spawns_grape, minecraft:has_structure/stronghold, wildernature:spawns_pelican, twigs:spawns_sea_shell, minecraft:stronghold_biased_to, naturalist:has_bass, twigs:spawns_pebble, minecraft:is_river, minecraft:required_ocean_monument_surrounding, forge:is_generalnotempcave, c:aquatic, minecraft:has_structure/ruined_portal_standard, fishofthieves:spawns_devilfish, naturalist:has_duck, forge:wet/climate, minecraft:more_frequent_drowned_spawns"
74,"terralith:cold_shrubland","fishofthieves:spawns_battlegills, minecraft:has_structure/mineshaft, croptopia:has_crop/corn, terralith:all_terralith_biomes, c:climate_cold, forge:sparse/vegetation, croptopia:has_crop/squash, forge:is_generalcave, forge:snowy, c:snowy, minecraft:has_structure/village_taiga, terralith:all_terralith_biomes_no_mineshafts, forge:is_snowy, backported_wolves:spawns_snowy_wolf, fishofthieves:spawns_devilfish, forge:is_cold, forge:is_sparse/overworld, naturalist:has_bluejay, croptopia:has_crop/yam, forge:is_cold/overworld, forge:is_sparse, c:in_overworld, forge:cold/climate, forge:is_general, immersive_weathering:icy, croptopia:has_crop/sweetpotato, biome_tag_villagers:villager_snowy, c:vegetation_sparse, minecraft:has_structure/stronghold, terralith:has_structure/rubble_taiga, waddles:spawn_include, alexsmobs:spawns_white_seals, minecraft:is_overworld, forge:overworld/in, terralith:shrublands"
75,"biomesoplenty:coniferous_forest","croptopia:has_crop/mustard, forge:is_dense, croptopia:has_crop/lettuce, croptopia:has_crop/greenbean, croptopia:has_crop/blackbean, c:taiga, vinery:spawns_taiga_grape, croptopia:has_crop/soybean, croptopia:has_crop/blackberry, croptopia:has_crop/pepper, biome_tag_villagers:villager_taiga, forge:overworld/in, croptopia:has_crop/squash, croptopia:has_crop/cucumber, croptopia:has_crop/oat, croptopia:has_crop/kale, twigs:spawns_pebble, naturalist:has_bear, forge:is_goblin, croptopia:has_crop/bellpepper, croptopia:has_crop/corn, exoticbirds:is_forest_bird_spawn, minecraft:is_taiga, minecraft:has_structure/stronghold, croptopia:has_crop/broccoli, croptopia:has_crop/rutabaga, forge:is_coniferous, fruitsdelight:plants/persimmon_biomes, croptopia:has_crop/sweetpotato, fruitsdelight:compat/cold, croptopia:has_crop/barley, fishofthieves:spawns_battlegills, croptopia:has_crop/blueberry, bloomingnature:has_structure/temperate, naturalist:has_bluejay, c:tree_coniferous, immersive_weathering:has_permafrost, bakery:spawns_strawberries, forge:taiga, bloomingnature:has_structure/taiga, forge:is_dense/overworld, croptopia:has_crop/chile_pepper, minecraft:has_structure/village_taiga, croptopia:has_crop/strawberry, fruitsdelight:plants/blueberry_biomes, backported_wolves:spawns_chestnut_wolf, forge:coniferous/tree, minecraft:has_structure/mineshaft, croptopia:has_crop/raspberry, twigs:spawns_twig, c:in_overworld, minecraft:stronghold_biased_to, fruitsdelight:plants/hawberry_biomes, croptopia:has_crop/cabbage, forge:is_flutterfly, minecraft:has_structure/ruined_portal_standard, minecraft:is_overworld, minecraft:has_structure/pillager_outpost, fishofthieves:spawns_devilfish"
76,"biomeswevegone:coniferous_forest","forge:forest, minecraft:has_structure/ruined_portal_standard, wildernature:spawns_owl, biomeswevegone:coniferous, naturalist:has_butterfly, c:forest, naturalist:has_bear, biomeswevegone:forest, naturalist:has_snail, vinery:spawns_grape, twigs:spawns_twig, minecraft:has_structure/stronghold, naturalist:has_cardinal, fishofthieves:spawns_pondies, forge:is_generalcave, minecraft:is_overworld, forge:is_coniferous, minecraft:has_structure/mineshaft, forge:is_flutterfly, goodending:spicy_wildflower_generates, dynamictrees:is_bee_nest_rare, naturalist:has_deer, minecraft:has_structure/pillager_outpost, wildernature:spawns_deer, naturalist:has_robin, forge:overworld/in, forge:is_general, spawn:small_anthill_generates, forge:is_dense, immersive_weathering:has_ivy, c:in_overworld, forge:is_generalnotemp, naturalist:has_finch, naturalist:has_snake, delightful:salmonberry_spawns, exoticbirds:is_hummingbird_spawn, naturalist:has_lizard, crittersandcompanions:silk_cocoon_spawns, waddles:spawn_exclude, forge:is_goblin, minecraft:is_forest, exoticbirds:is_peafowl_spawn, exoticbirds:is_tropic_bird_spawn, forge:is_generalnotempcave, naturalist:has_boar, forge:is_dense/overworld, minecraft:has_structure/village_taiga, wildernature:spawns_hedgehog, wildernature:spawns_boar, fishofthieves:spawns_battlegills, wildernature:spawns_turkey, naturalist:has_firefly, biomeswevegone:overworld, biomeswevegone:density/dense, fishofthieves:spawns_devilfish, bakery:spawns_strawberries, exoticbirds:is_forest_bird_spawn"
77,"biomesoplenty:crag","minecraft:has_structure/stronghold, forge:is_wasteland, naturalist:has_robin, forge:is_generalnotemp, c:in_overworld, twigs:schist_generates, minecraft:has_structure/ruined_portal_mountain, minecraft:is_overworld, forge:is_generalcave, vinery:spawns_grape, forge:is_sparse, forge:overworld/in, minecraft:has_structure/pillager_outpost, fishofthieves:spawns_battlegills, minecraft:stronghold_biased_to, forge:is_general, c:mountain, vinery:spawns_taiga_grape, waddles:spawn_exclude, forge:mountain, minecraft:increased_fire_burnout, fishofthieves:spawns_devilfish, forge:is_mountainous, naturalist:has_snail, naturalist:has_bluejay, backported_wolves:spawns_spotted_wolf, forge:is_sparse/overworld, naturalist:has_canary, forge:is_mountain, minecraft:has_structure/mineshaft, minecraft:is_mountain, forge:is_generalnotempcave"
78,"biomeswevegone:crag_gardens","exoticbirds:is_cassowary_spawn, naturalist:has_snail, minecraft:has_structure/stronghold, forge:jungle/tree, fishofthieves:spawns_battlegills, vinery:spawns_taiga_grape, fishofthieves:spawns_moss_islehoppers, biomeswevegone:density/dense, sereneseasons:tropical_biomes, c:climate_wet, minecraft:has_structure/ruined_portal_mountain, forge:dense/vegetation, forge:is_mountain, forge:is_dense/overworld, exoticbirds:is_tropic_bird_spawn, biome_tag_villagers:villager_jungle, fishofthieves:spawns_wildsplash, forge:wet/climate, c:vegetation_dense, c:jungle, naturalist:has_lizard, naturalist:has_bluejay, waddles:spawn_exclude, naturalist:has_coral_snake, minecraft:is_jungle, forge:hot/climate, c:mountain, forge:is_generalnotempcave, immersive_weathering:wet, biomeswevegone:jungle, upgrade_aquatic:has_feature/pickerelweed, fishofthieves:spawns_islehoppers, goodending:balmy_wildflower_generates, vinery:spawns_jungle_grape, minecraft:is_overworld, forge:overworld/in, biomeswevegone:mountain, exoticbirds:is_pelican_spawn, minecraft:spawns_warm_variant_frogs, minecraft:has_structure/mineshaft, crittersandcompanions:silk_cocoon_spawns, immersive_weathering:has_loam, naturalist:has_tortoise, forge:jungle, forge:is_generalcave, forge:is_flutterfly, biomeswevegone:overworld, forge:is_generalnotemp, naturalist:has_canary, fishofthieves:spawns_devilfish, forge:is_goblin, minecraft:has_structure/pillager_outpost, exoticbirds:is_peafowl_spawn, naturalist:has_hippo, twigs:schist_generates, minecraft:is_mountain, c:climate_hot, exoticbirds:is_dry_tropic_bird_spawn, minecraft:has_structure/jungle_temple, forge:is_general, naturalist:has_robin, bakery:spawns_strawberries, vinery:spawns_grape, forge:mountain, c:in_overworld, minecraft:has_structure/ruined_portal_jungle, forge:is_dense, exoticbirds:is_hummingbird_spawn, forge:is_mountainous, c:tree_jungle"
79,"arphex:crawling_main",""
80,"minecraft:crimson_forest","forge:is_dry/nether, alexsmobs:spawns_nether_tarantula_hawks, minecraft:has_structure/ruined_portal_nether, forge:nether/in, forge:is_hot, c:climate_hot, forge:is_dry, c:climate_dry, c:nether_forests, minecraft:has_structure/nether_fortress, forge:is_hot/nether, twigs:bloodstone_generates, minecraft:snow_golem_melts, waddles:spawn_exclude, minecraft:spawns_warm_variant_frogs, c:in_nether, minecraft:has_structure/bastion_remnant, tumbleweed:whitelist, forge:hot/climate, forge:forests/nether, forge:dry/climate, twigs:has_structure/bloodstone_obelisk, minecraft:is_nether, immersive_weathering:hot"
81,"biomeswevegone:crimson_tundra","delightful:mini_melon_spawns, biomeswevegone:plains, naturalist:has_firefly, biomeswevegone:climate/cold, biomeswevegone:large_cold_lake, naturalist:has_butterfly, forge:is_general, minecraft:is_overworld, forge:is_generalnotemp, forge:is_goblin, minecraft:has_structure/stronghold, naturalist:has_snail, naturalist:has_snake, forge:is_generalnotempcave, forge:is_cold, forge:is_generalcave, naturalist:has_robin, forge:overworld/in, c:in_overworld, forge:is_eyestalker, biomeswevegone:overworld, forge:is_plains, exoticbirds:is_hummingbird_spawn, fishofthieves:spawns_devilfish, exoticbirds:is_peafowl_spawn, forge:is_cold/overworld, naturalist:has_sparrow, fishofthieves:spawns_battlegills"
82,"galosphere:crystal_canyons","minecraft:has_structure/ruined_portal_standard, c:in_overworld, forge:overworld/in, minecraft:is_overworld, forge:is_cave, fishofthieves:spawns_devilfish, minecraft:has_structure/mineshaft, naturalist:has_snail, minecraft:has_structure/stronghold, forge:is_underground, forge:is_generalnotempcave, fishofthieves:spawns_battlegills, forge:is_generalcave, minecraft:stronghold_biased_to"
83,"biomesoplenty:crystalline_chasm","forge:nether/in, forge:hot/climate, forge:is_hot/nether, minecraft:spawns_warm_variant_frogs, forge:is_magical, forge:dry/climate, c:climate_hot, minecraft:has_structure/ruined_portal_nether, tumbleweed:whitelist, c:climate_dry, minecraft:has_structure/nether_fortress, alexsmobs:spawns_nether_tarantula_hawks, minecraft:snow_golem_melts, minecraft:has_structure/bastion_remnant, forge:is_flutterfly, minecraft:is_nether, forge:is_dry/nether, forge:is_hot, c:in_nether, waddles:spawn_exclude, immersive_weathering:hot, forge:is_dry"
84,"biomeswevegone:cypress_swamplands","immersive_weathering:wet, forge:is_wet/overworld, minecraft:has_structure/swamp_hut, naturalist:has_snail, minecraft:has_structure/stronghold, forge:is_wet, forge:is_swamp, naturalist:has_butterfly, naturalist:has_lizard, naturalist:has_catfish, upgrade_aquatic:has_spawn/perch, alexsmobs:spawns_huge_catfish, fishofthieves:spawns_battlegills, minecraft:is_overworld, upgrade_aquatic:has_feature/pickerelweed, fishofthieves:spawns_devilfish, naturalist:has_snake, naturalist:has_tortoise, naturalist:has_alligator, upgrade_aquatic:has_feature/driftwood_swamp, naturalist:has_duck, exoticbirds:is_water_bird_spawn, upgrade_aquatic:has_spawn/pike, naturalist:has_bass, naturalist:has_dragonfly, forge:is_dense, biomeswevegone:overworld, naturalist:has_cardinal, biomeswevegone:climate/wet, naturalist:has_firefly, biomeswevegone:density/dense, c:in_overworld, forge:is_flutterfly, forge:is_dense/overworld, forge:is_goblin, forge:overworld/in, biomeswevegone:swamp"
85,"biomeswevegone:dacite_ridges","biomeswevegone:overworld, c:forest, naturalist:has_bear, naturalist:has_lizard, vinery:spawns_grape, biomeswevegone:coniferous, fishofthieves:spawns_battlegills, wildernature:spawns_deer, fishofthieves:spawns_pondies, naturalist:has_butterfly, forge:is_generalnotempcave, forge:is_dense, forge:is_generalcave, spawn:small_anthill_generates, minecraft:is_forest, c:in_overworld, minecraft:has_structure/stronghold, minecraft:has_structure/mineshaft, naturalist:has_deer, exoticbirds:is_hummingbird_spawn, wildernature:spawns_hedgehog, forge:is_general, forge:is_flutterfly, naturalist:has_snake, exoticbirds:is_tropic_bird_spawn, forge:is_generalnotemp, goodending:spicy_wildflower_generates, twigs:spawns_twig, crittersandcompanions:silk_cocoon_spawns, forge:is_dense/overworld, minecraft:is_overworld, immersive_weathering:has_ivy, wildernature:spawns_boar, delightful:salmonberry_spawns, dynamictrees:is_bee_nest_rare, naturalist:has_finch, bakery:spawns_strawberries, naturalist:has_firefly, biomeswevegone:forest, wildernature:spawns_owl, minecraft:has_structure/ruined_portal_standard, naturalist:has_cardinal, forge:is_coniferous, naturalist:has_boar, forge:is_goblin, wildernature:spawns_turkey, waddles:spawn_exclude, biomeswevegone:density/dense, exoticbirds:is_forest_bird_spawn, fishofthieves:spawns_devilfish, exoticbirds:is_peafowl_spawn, naturalist:has_snail, forge:overworld/in, naturalist:has_robin, forge:forest"
86,"biomeswevegone:dacite_shore","immersive_weathering:wet, forge:is_wet/overworld, biomeswevegone:beach, minecraft:has_structure/stronghold, forge:is_wet, twigs:spawns_sea_shell, backported_wolves:spawns_spotted_wolf, salt:has_rock_salt_deposits, fishofthieves:spawns_wildsplash, minecraft:has_structure/mineshaft, minecraft:is_beach, minecraft:is_overworld, fishofthieves:spawns_battlegills, fishofthieves:spawns_devilfish, biomeswevegone:wasteland, minecraft:has_structure/buried_treasure, upgrade_aquatic:has_feature/driftwood_beach, fishofthieves:spawns_islehoppers, forge:is_wasteland, exoticbirds:is_pelican_spawn, upgrade_aquatic:has_feature/ammonite_ore, exoticbirds:is_water_bird_spawn, minecraft:has_structure/ruined_portal_standard, naturalist:has_coral_snake, immersive_weathering:has_sandy_dirt, biomeswevegone:overworld, twigs:spawns_pebble, biomeswevegone:climate/wet, fishofthieves:islehopper_spawn_at_coast, forge:is_waterbased, c:beach, c:in_overworld, fishofthieves:spawns_sandy_wildsplash, forge:beach, forge:overworld/in, minecraft:has_structure/shipwreck_beached, delightful:cantaloupe_spawns"
87,"minecraft:dark_forest","exoticbirds:is_forest_bird_spawn, croptopia:has_crop/blackberry, fishofthieves:spawns_devilfish, croptopia:has_crop/tomato, bakery:spawns_strawberries, bloomingnature:overworld, forge:is_generalnotemp, minecraft:stronghold_biased_to, forge:deciduous/tree, croptopia:has_crop/blackbean, minecraft:is_overworld, naturalist:has_boar, wildernature:spawns_boar, fishofthieves:spawns_battlegills, habitat:has_structure/fairy_ring, goodending:twilight_wildflower_generates, c:forest, naturalist:has_snake, minecraft:has_structure/mineshaft, forge:temperate/climate, twigs:spawns_twig, forge:with_default_monster_spawns, projectvibrantjourneys:has_logs/oak, c:in_overworld, croptopia:has_crop/grape, forge:is_generalcave, croptopia:has_crop/blueberry, naturalist:has_cardinal, waddles:spawn_exclude, minecraft:has_structure/stronghold, exoticbirds:is_hummingbird_spawn, insects_recrafted:grassybiomes, minecraft:is_forest, minecraft:has_structure/ruined_portal_standard, forge:is_goblin, c:tree_deciduous, projectvibrantjourneys:has_logs/birch, delightful:salmonberry_spawns, spawn:small_anthill_generates, moremobvariants:wolf_woods_spawns, projectvibrantjourneys:has_logs/dark_oak, croptopia:has_crop/tea_leaves, naturalist:has_snail, exoticbirds:is_tropic_bird_spawn, forge:is_flutterfly, bloomingnature:dark_forest, wildernature:spawns_turkey, forge:is_dense/overworld, croptopia:has_crop/elderberry, croptopia:has_crop/spinach, croptopia:has_crop/cauliflower, exoticbirds:is_peafowl_spawn, minecraft:has_structure/woodland_mansion, forge:is_spooky, croptopia:has_crop/tomatillo, forge:is_dense, croptopia:has_crop/celery, forge:forest, crittersandcompanions:silk_cocoon_spawns, croptopia:has_crop/cantaloupe, naturalist:has_firefly, immersive_weathering:has_loam, immersive_weathering:has_ivy, wildernature:spawns_owl, forge:is_general, terralith:has_structure/rubble_forest, dynamictrees:is_bee_nest_rare, croptopia:has_crop/radish, c:climate_temperate, forge:overworld/in, vinery:spawns_grape, croptopia:has_crop/strawberry, croptopia:has_crop/raspberry, naturalist:has_deer, forge:is_generalnotempcave, goodending:mossy_cobblestone_boulder_generates, wildernature:spawns_deer, fishofthieves:spawns_pondies, naturalist:has_lizard, fruitsdelight:plants/cranberry_biomes, naturalist:has_butterfly, wildernature:spawns_hedgehog, goodending:spicy_wildflower_generates, naturalist:has_bear, naturalist:has_finch, naturalist:has_robin"
88,"biomesoplenty:dead_forest","twigs:spawns_twig, forge:is_general, fishofthieves:spawns_battlegills, minecraft:has_structure/woodland_mansion, c:taiga, naturalist:has_bluejay, forge:overworld/in, immersive_weathering:has_permafrost, biome_tag_villagers:villager_taiga, minecraft:is_taiga, forge:is_cold/overworld, bloomingnature:has_structure/taiga, forge:is_sparse, minecraft:has_structure/mineshaft, bloomingnature:has_structure/temperate, vinery:spawns_taiga_grape, forge:is_generalcave, forge:is_rare, twigs:spawns_pebble, forge:coniferous/tree, minecraft:is_overworld, forge:is_cold, projectvibrantjourneys:has_logs/oak, bakery:spawns_strawberries, minecraft:has_structure/stronghold, exoticbirds:is_forest_bird_spawn, c:tree_coniferous, forge:is_sparse/overworld, minecraft:stronghold_biased_to, minecraft:has_structure/ruined_portal_standard, fishofthieves:spawns_devilfish, naturalist:has_bear, backported_wolves:spawns_striped_wolf, c:in_overworld, forge:taiga, projectvibrantjourneys:has_logs/spruce"
89,"biomeswevegone:dead_sea","immersive_weathering:wet, forge:ocean, sereneseasons:infertile_biomes, minecraft:has_structure/mineshaft, biomeswevegone:dripstone_arch, minecraft:has_structure/ruined_portal_ocean, twigs:spawns_sea_shell, minecraft:has_structure/ocean_ruin_warm, minecraft:required_ocean_monument_surrounding, upgrade_aquatic:has_feature/prismarine_coral, upgrade_aquatic:has_feature/driftwood, minecraft:has_structure/shipwreck, sereneseasons:blacklisted_biomes, forge:is_waterbased, minecraft:plays_underwater_music, fishofthieves:spawns_battlegills, biomeswevegone:dead, fishofthieves:spawns_splashtails, backported_wolves:spawns_spotted_wolf, fishofthieves:spawns_wreckers, upgrade_aquatic:has_feature/ammonite_ore, biomeswevegone:overworld, minecraft:is_ocean, fishofthieves:spawns_wildsplash, biomeswevegone:wasteland, fishofthieves:spawns_devilfish, minecraft:is_overworld, minecraft:water_on_map_outlines, fishofthieves:spawns_stormfish, fishofthieves:spawns_ocean_wildsplash, c:aquatic, forge:is_wasteland, fishofthieves:has_fish_bone, c:in_overworld, salt:has_rock_salt_deposits, minecraft:has_structure/stronghold, forge:wet/climate, fishofthieves:spawns_islehoppers, forge:overworld/in, c:climate_wet, forge:is_water, upgrade_aquatic:has_carver/underwater_canyon, forge:aquatic, biomeswevegone:ocean, fishofthieves:islehopper_spawn_at_coast, c:ocean"
