"ID","Name","Description","Parent"
"chalk:adventure/draw_mark_in_maze","[This Way!]","Draw with Chalk in a labyrinthine structure","minecraft:adventure/root"
"chalk:adventure/get_skeleton_skull","[Bound By Bone]","Obtain a Skeleton Skull","minecraft:adventure/kill_a_mob"
"chalk:adventure/sleep_three_times_in_one_place","[Home Is Where the Bed Is]","Sleep in one place three times in a row","minecraft:adventure/sleep_in_bed"
"chalk:adventure/vandalism","[Vandalism]","Draw with a Chalk in a Village","chalk:adventure/draw_mark_in_maze"
"cold_sweat:boiler_icebox","cold_sweat:boiler_icebox","<null>","minecraft:recipes/root"
"cold_sweat:chameleon_find_biome","[Follow the Leader]","Follow a chameleon's tail to find a new biome","cold_sweat:tame_chameleon"
"cold_sweat:extreme_temps","[Inhospitable]","Find a place that's too hot or cold to survive","cold_sweat:root"
"cold_sweat:fuel_soul_lamp","[Borrowed Time]","Fuel the soulspring lamp by clicking it with fuel in your inventory","cold_sweat:get_soul_lamp"
"cold_sweat:full_insulation","[Dressed to Go]","Wear a suit of fully insulated armor","cold_sweat:insulate_armor"
"cold_sweat:get_soul_lamp","[Soul of the Sea]","Using a Heart of the Sea, craft a Soulspring Lamp, a vital tool against the Nether's inferno","cold_sweat:extreme_temps"
"cold_sweat:huddle_close","[Huddle Close]","Stand next to a block to warm up","cold_sweat:extreme_temps"
"cold_sweat:insulate_armor","[Lining Up]","Insulate a piece of armor to protect yourself from the elements","cold_sweat:root"
"cold_sweat:lava_sea","[The Pit of Fire]","Stand next to a sea of lava","cold_sweat:huddle_close"
"cold_sweat:recipes/goat_armor","cold_sweat:recipes/goat_armor","<null>","minecraft:recipes/root"
"cold_sweat:recipes/hoglin_armor","cold_sweat:recipes/hoglin_armor","<null>","minecraft:recipes/root"
"cold_sweat:recipes/soulspring_lamp","cold_sweat:recipes/soulspring_lamp","<null>","minecraft:recipes/root"
"cold_sweat:recipes/thermolith","cold_sweat:recipes/thermolith","<null>","minecraft:recipes/root"
"cold_sweat:recipes/thermometer","cold_sweat:recipes/thermometer","<null>","minecraft:recipes/root"
"cold_sweat:recipes/waterskin","cold_sweat:recipes/waterskin","<null>","minecraft:recipes/root"
"cold_sweat:root","[Cold Sweat]","Keep warm and you'll be fine","-"
"cold_sweat:survival_tactics","[Desperate Measures]","Set yourself on fire to prevent freezing to death","cold_sweat:huddle_close"
"cold_sweat:tame_chameleon","[The Great Leon]","Tame a chameleon. They're useful for exploration and double as a hat","cold_sweat:root"
"comforts:hammock_black","comforts:hammock_black","<null>","minecraft:recipes/root"
"comforts:hammock_blue","comforts:hammock_blue","<null>","minecraft:recipes/root"
"comforts:hammock_brown","comforts:hammock_brown","<null>","minecraft:recipes/root"
"comforts:hammock_cyan","comforts:hammock_cyan","<null>","minecraft:recipes/root"
"comforts:hammock_gray","comforts:hammock_gray","<null>","minecraft:recipes/root"
"comforts:hammock_green","comforts:hammock_green","<null>","minecraft:recipes/root"
"comforts:hammock_light_blue","comforts:hammock_light_blue","<null>","minecraft:recipes/root"
"comforts:hammock_light_gray","comforts:hammock_light_gray","<null>","minecraft:recipes/root"
"comforts:hammock_lime","comforts:hammock_lime","<null>","minecraft:recipes/root"
"comforts:hammock_magenta","comforts:hammock_magenta","<null>","minecraft:recipes/root"
"comforts:hammock_orange","comforts:hammock_orange","<null>","minecraft:recipes/root"
"comforts:hammock_pink","comforts:hammock_pink","<null>","minecraft:recipes/root"
"comforts:hammock_purple","comforts:hammock_purple","<null>","minecraft:recipes/root"
"comforts:hammock_red","comforts:hammock_red","<null>","minecraft:recipes/root"
"comforts:hammock_white","comforts:hammock_white","<null>","minecraft:recipes/root"
"comforts:hammock_yellow","comforts:hammock_yellow","<null>","minecraft:recipes/root"
"comforts:rope_and_nail","comforts:rope_and_nail","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_black","comforts:sleeping_bag_black","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_blue","comforts:sleeping_bag_blue","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_brown","comforts:sleeping_bag_brown","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_cyan","comforts:sleeping_bag_cyan","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_gray","comforts:sleeping_bag_gray","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_green","comforts:sleeping_bag_green","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_light_blue","comforts:sleeping_bag_light_blue","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_light_gray","comforts:sleeping_bag_light_gray","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_lime","comforts:sleeping_bag_lime","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_magenta","comforts:sleeping_bag_magenta","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_orange","comforts:sleeping_bag_orange","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_pink","comforts:sleeping_bag_pink","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_purple","comforts:sleeping_bag_purple","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_red","comforts:sleeping_bag_red","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_white","comforts:sleeping_bag_white","<null>","minecraft:recipes/root"
"comforts:sleeping_bag_yellow","comforts:sleeping_bag_yellow","<null>","minecraft:recipes/root"
"corn_delight:classic_corndog","[Classic Corn Dog]","Put ketchup on corn dog, delicious.","corn_delight:corndog"
"corn_delight:corn","[Actually Maize]","Got your first maize","corn_delight:root"
"corn_delight:corn_knowleage","[Master Corn Knowledge]","Got every foods in Corn Delight, congratulations!","corn_delight:corn"
"corn_delight:cornbread","[Classic Cornbread]","Got cornbread","corn_delight:corn"
"corn_delight:corndog","[Plain Corn Dog]","Got a corn dog","corn_delight:corn"
"corn_delight:nachos","[#nachocrime]","Got Nachos","corn_delight:tortilla"
"corn_delight:popcorn","[Popcorn]","Got some popcorns","corn_delight:corn"
"corn_delight:popcorn_party","[Popcorn Party Time]","Host a popcorn party!","corn_delight:popcorn"
"corn_delight:root","[Kernal of Knowledge]","Got some corn kernals","-"
"corn_delight:stuffing_chef","[Stuffing Chef]","Got Cornbread Stuffing and Stuffed Pumpkin","corn_delight:cornbread"
"corn_delight:taco","[Taco Town!]","Got Taco","corn_delight:tortilla"
"corn_delight:tortilla","[Tortilla]","Got Tortilla","corn_delight:corn"
"crabbersdelight:main/a_shrimp_fried_this_rice","[A Shrimp Fried This Rice?!]","You seriously mean to tell me a SHRIMP fried this rice?! Impossible","crabbersdelight:main/craft_crab_trap"
"crabbersdelight:main/cook_crustaceans","[Crustacean Cooking Station]","Cook crabs, shrimp, and clawster by boiling them in a cooking pot","crabbersdelight:main/craft_crab_trap"
"crabbersdelight:main/craft_crab_trap","[It's a Trap!]","Use rope, slabs, and sticks to make your first crab trap","crabbersdelight:main/root"
"crabbersdelight:main/frog_killer","[Tastes Like Chicken]","Use a Knife to retrieve Frog Legs from a Frog","crabbersdelight:main/root"
"crabbersdelight:main/get_pearl","[Sweet Mother of Pearl!]","Obtain your first pearl by cutting clams on a cutting board. Maybe a mysterious trader will find it valuable...","crabbersdelight:main/craft_crab_trap"
"crabbersdelight:main/glow_squid_killer","[Deeper Sea Slayer]","Use a Knife to retrieve Glow Squid Tentacles from a Glow Squid","crabbersdelight:main/squid_killer"
"crabbersdelight:main/reach_for_the_sea_stars","[Reach For The Sea-Stars!]","Obtain a crab claw and extend your reach","crabbersdelight:main/root"
"crabbersdelight:main/root","[Crabber's Delight]","A seafood adventure awaits you!","-"
"crabbersdelight:main/squid_killer","[Deep Sea Slayer]","Use a Knife to retrieve Squid Tentacles from a Squid","crabbersdelight:main/root"
"croptopia:cinnamon","[Oddly tasty sticks]","Strip a cinnamon tree from your local jungle","croptopia:salt"
"croptopia:eatbig","[Fully Stuffed]","Eat anything with five or more ingredients","croptopia:eatcrafted"
"croptopia:eatcrafted","[Hearty Meal]","Eat anything crafted","croptopia:root"
"croptopia:food_press","[Blendern't]","Make an All Purpose Food Press","croptopia:frying_pan"
"croptopia:frying_pan","[Can't Be Used as a Weapon]","Make a Frying Pan","croptopia:pot"
"croptopia:gather_all","[Land Seed Record]","Gather every seed from Croptopia","croptopia:gather_swamp"
"croptopia:gather_desert","[Undried Seeds]","Gather all the seeds from the desert","croptopia:gather_plains"
"croptopia:gather_drinks","[Mundane Cocktail]","Drink every drink","croptopia:getdrinks"
"croptopia:gather_food","[Food Critic]","Eat everything there is to eat","croptopia:eatbig"
"croptopia:gather_forest","[Saplings Lite]","Gather all the seeds from the forest","croptopia:gather_desert"
"croptopia:gather_jungle","[Wild Seeds]","Gather all the seeds from the jungle","croptopia:gather_savanna"
"croptopia:gather_plains","[Really Plain Seeds]","Gather all the seeds from the plains","croptopia:getseeds"
"croptopia:gather_savanna","[Hot Seeds]","Gather all the seeds from the savanna","croptopia:gather_forest"
"croptopia:gather_swamp","[Watery seeds]","Gather all the seeds from the swamp","croptopia:gather_jungle"
"croptopia:gather_tree_all","[Streeking Treeathlon]","Gather every sapling Croptopia has to offer","croptopia:gather_tree_forest"
"croptopia:gather_tree_dark_forest","[Trees of the Dark Side]","Gather every sapling from a dark forest or variants","croptopia:getsapling"
"croptopia:gather_tree_forest","[Your Bargain Bin Saplings]","Gather every sapling from a forest or variants","croptopia:gather_tree_plains"
"croptopia:gather_tree_jungle","[Feral Huge Broccoli]","Gather every sapling from a jungle or variants","croptopia:gather_tree_dark_forest"
"croptopia:gather_tree_plains","[Distinct Shrubs]","Gather every sapling from a plains or variants","croptopia:gather_tree_jungle"
"croptopia:getdrinks","[Fancy Water]","Craft any kind of drink","croptopia:getsapling"
"croptopia:getsapling","[Forestree Territree]","Gather some fruit and make a tree from it","croptopia:root"
"croptopia:getseeds","[An Extra Seedy Place]","Break a wild plant to get seeds!","croptopia:root"
"croptopia:knife","[Iron Torch]","Make a Knife","croptopia:mortar_and_pestle"
"croptopia:mortar_and_pestle","[A Deadly Weapon For... Crushing]","Make a Mortar and Pestle","croptopia:root"
"croptopia:pot","[Potted]","Make a Cooking Pot","croptopia:knife"
"croptopia:root","[Croptopia]","'You Won't Get Anything Done Hoeing Like That'","-"
"croptopia:salt","[Sadly, Won't Give More FPS]","Find Salt in the depths of nearby rivers","croptopia:root"
"culturaldelights:pickle","[Funniest thing I've ever seen!]","Pickle a cucumber in the fermenter","farmersdelight:main/craft_knife"
"decoration_delight:brewin_advancement","[The Sound of Brewing]","Obtain the Brewin Music Disc","decoration_delight:the_search_begins_advancement"
"decoration_delight:checkmate_advancement","[Checkmate!]","Obtain a Checkered Tile","decoration_delight:decoration_101_advancement"
"decoration_delight:chef_hat_advancement","[Chefed Up!]","Obtain a Chef Hat","decoration_delight:decoration_101_advancement"
"decoration_delight:cookinadvancement","[The Sound of Cooking]","Obtain the Cookin Music Disc","decoration_delight:the_search_begins_advancement"
"decoration_delight:decoration_101_advancement","[Decoration Delight]","Welcome to Decoration Delight!","-"
"decoration_delight:glazin_advancement","[The Sound of Glazing]","Obtain the Glazed Music Disc","decoration_delight:the_search_begins_advancement"
"decoration_delight:golden_chef_hat_advancement","[Master Chef]","Obtain the Golden Chef Hat","decoration_delight:chef_hat_advancement"
"decoration_delight:simmer_advancement","[The Sound of Simmering]","Obtain the Simmer Music Disc","decoration_delight:the_search_begins_advancement"
"decoration_delight:sink_advancement","[Splish Splash]","Use a Sink","decoration_delight:decoration_101_advancement"
"decoration_delight:the_search_begins_advancement","[The Search Begins...]","Now begins your quest to obtain all three music discs","decoration_delight:decoration_101_advancement"
"decoration_delight:trash_bin_advancement","[Bin There, Done That]","Obtain the Trash Bin","decoration_delight:decoration_101_advancement"
"decoration_delight:wash_advancement","[The Sound of Soaking]","Obtain the Soak Music Disc","decoration_delight:the_search_begins_advancement"
"ecologics:husbandry/breed_penguin","[Happy Feet]","Breed penguins to obtain a penguin feather from the baby.","minecraft:husbandry/breed_an_animal"
"ecologics:husbandry/sandcastle","[Fortress of Sanditude]","Build a sandcastle to protect turtle eggs.","minecraft:husbandry/breed_an_animal"
"eggdelight:boiled_egg_advancement","[Be careful it's hot!]","Boil Egg on Cooking Pot","eggdelight:egg_advancement"
"eggdelight:egg_advancement","[Eggciting!]","Obtain Egg","-"
"enemyexpansion:enemy_expansion_advancement","[Enemy Expansion]","Expand enemies!","-"
"enemyexpansion:flutterfly_collection","[Butterfly Collection]","Catch a Flutterfly in a Bottle!","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:goblin_villager_reversion","[Freedom!]","Release a Villager from their Goblified curse.","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:hunted","[Hunted]","Defeat a Huntsman!","minecraft:adventure/kill_a_mob"
"enemyexpansion:ladybug_feeding","[Ladybug's Gift]","Recieving a Healing Eye from a Ladybug","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:regicide","[Regicide]","Kill a Bodiless Silverqueen!","minecraft:adventure/kill_a_mob"
"enemyexpansion:starved_steal","[Thief!]","Steal from the mouth of a Starved!","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:tactically_nuked","[Tactically Nuked]","Shoot a Faller out of the sky!","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:tarancher","[Tarancher]","Ride a Tarantula!","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:troll_hunter","[Troll Hunter]","Defeat a Troll!","minecraft:adventure/kill_a_mob"
"enemyexpansion:troll_petrified","[Trolled!]","Petrify a Troll","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:vampire_slayer","[Vampire Slayer]","Slay a Vampire!","minecraft:adventure/kill_a_mob"
"enemyexpansion:wasp_drone_summon","[Wasp Business]","Hatch a Wasp Drone from a Wasp Thorax!","enemyexpansion:enemy_expansion_advancement"
"enemyexpansion:you_make_me_sick","[You Make Me Sick!]","Poison a Troll with a Poisonous Potato","enemyexpansion:enemy_expansion_advancement"
"exoticbirds:default/catch_bird","[Jailbird]","Catch a hummingbird in a birdcage","exoticbirds:default/craft_birdcage"
"exoticbirds:default/craft_backpack","[Messenger Pigeon]","Craft a pigeon backpack","exoticbirds:default/tame_pigeon"
"exoticbirds:default/craft_birdcage","[Home Tweet Home]","Craft a birdcage","exoticbirds:default/root"
"exoticbirds:default/craft_book","[Birdwatcher]","Craft the bird encyclopedia","exoticbirds:default/root"
"exoticbirds:default/craft_identifier","[Beginner Oology]","Craft an egg analyzer","exoticbirds:default/root"
"exoticbirds:default/craft_incubator","[Incubation Inspiration]","Craft an egg incubator","exoticbirds:default/root"
"exoticbirds:default/hold_all_phoenix_eggs","[Short of a Dozen]","Obtain all nine different phoenix eggs","exoticbirds:default/obtain_phoenix_egg"
"exoticbirds:default/incubate_egg","[Eggs to the Max]","Incubate an egg to 100% spawn chance","exoticbirds:default/craft_incubator"
"exoticbirds:default/log_bird","[Amateur Ornithology]","Log a bird with the bird encyclopedia","exoticbirds:default/craft_book"
"exoticbirds:default/log_caged_bird","[The Caged Bird Sings]","Log a caged bird","exoticbirds:default/log_bird"
"exoticbirds:default/log_parrots","[Parrot Party]","Log all macaw variants","exoticbirds:default/log_bird"
"exoticbirds:default/log_water_birds","[Water You Thinking?]","Log six species of water birds","exoticbirds:default/log_bird"
"exoticbirds:default/obtain_phoenix_egg","[Egg-citing Discoveries!]","Obtain a phoenix egg from an egg analyzer","exoticbirds:default/craft_identifier"
"exoticbirds:default/root","[Exotic Birds Advancements]","Install the Exotic Birds mod","-"
"exoticbirds:default/shoot_gull","[Pesky Seagulls]","Shoot a gull out of the sky using a bow","exoticbirds:default/root"
"exoticbirds:default/tame_pelican","[Peli-yes-I-can!]","Tame a pelican using cooked fish","exoticbirds:default/root"
"exoticbirds:default/tame_pigeon","[Lovey-Dovey]","Tame a pigeon using bread","exoticbirds:default/root"
"farmersdelight:main/craft_knife","[Hunt and Gather]","Craft a Knife to scavenge extra goods from plants and animals","farmersdelight:main/root"
"farmersdelight:main/eat_comfort_food","[Comforting!]","Warm bowl meals will keep you healing steadily, no matter how hungry you are!","farmersdelight:main/place_cooking_pot"
"farmersdelight:main/eat_nourishing_food","[Nourishing!]","Plated meals will prevent you from getting exhausted or hungry for a while!","farmersdelight:main/eat_comfort_food"
"farmersdelight:main/get_fd_seed","[Crops of the Wild]","Four new crops may be found in the wild, across many climates... or maybe in a chest somewhere.","farmersdelight:main/root"
"farmersdelight:main/get_ham","[Wild Butcher]","Use a Knife to extract Ham from Pigs or Hoglins","farmersdelight:main/craft_knife"
"farmersdelight:main/get_mushroom_colony","[Fungus Among Us]","Shear a fully mature Mushroom Colony. To grow them like this, you'll need a very rich soil...","farmersdelight:main/get_fd_seed"
"farmersdelight:main/get_rich_soil","[Plant Food]","Organic Compost slowly decays into Rich Soil, an upgrade for your farms!","farmersdelight:main/place_organic_compost"
"farmersdelight:main/harvest_ropelogged_tomato","[Tall-mato]","Hang some rope above a tomato crop to make it grow taller","farmersdelight:main/get_fd_seed"
"farmersdelight:main/harvest_straw","[Grasping at Straws]","Harvest grass, wheat or rice with a Knife to collect Straw","farmersdelight:main/craft_knife"
"farmersdelight:main/hit_raider_with_rotten_tomato","[Boo! Hiss!]","Throw a Rotten Tomato at one of these pesky raiders!","farmersdelight:main/harvest_ropelogged_tomato"
"farmersdelight:main/master_chef","[Master Chef]","Eat a course of every meal available!","farmersdelight:main/place_feast"
"farmersdelight:main/obtain_netherite_knife","[If You Can't Take the Heat...]","Spend a whole Netherite Ingot to upgrade your knife! Or get out of the kitchen.","farmersdelight:main/use_cutting_board"
"farmersdelight:main/place_campfire","[Bonfire Lit]","Place down a Campfire to cook some food","farmersdelight:main/root"
"farmersdelight:main/place_cooking_pot","[Dinner's Served!]","Put down a Cooking Pot and start preparing meals!","farmersdelight:main/place_campfire"
"farmersdelight:main/place_feast","[A Glorious Feast]","Some meals are big enough to be placed down and shared with friends!","farmersdelight:main/eat_nourishing_food"
"farmersdelight:main/place_organic_compost","[Advanced Composting]","Place down some Organic Compost. It composts better with sun, water and mushrooms!","farmersdelight:main/harvest_straw"
"farmersdelight:main/place_skillet","[Sizzling Hot!]","Sneak to place your Skillet down as a block","farmersdelight:main/use_skillet"
"farmersdelight:main/plant_all_crops","[Crop Rotation]","Cultivate every food-related plant you can find, such as vegetables, fruits, fungi or roots!","farmersdelight:main/plant_rice"
"farmersdelight:main/plant_rice","[Dipping Your Roots]","Plant grains of Rice in a shallow water puddle","farmersdelight:main/get_fd_seed"
"farmersdelight:main/root","[Farmer's Delight]","A world of flavor awaits you!","-"
"farmersdelight:main/use_cutting_board","[Watch Your Fingers]","With a tool in hand, use a Cutting Board to break down an item","farmersdelight:main/craft_knife"
"farmersdelight:main/use_skillet","[Portable Cooking]","Skillets let you cook on the go. Stand near heat, then hold food in your other hand!","farmersdelight:main/place_campfire"
"farmersrespite:main/get_coffee_beans","[Invasive Species]","Coffee doesn't grow well in the overworld! Plant it near some more typical crops so it can feed on them and grow.","farmersdelight:main/get_fd_seed"
"farmersrespite:main/get_tea_seeds","[Handle With Care]","Tea bushes oxidize with time! Plant them on grass and keep an eye on them to time your harvests!","farmersdelight:main/get_fd_seed"
"farmersrespite:main/stunt_tea_bush","[Tasty Topiary]","Stunt a tea bushes' growth with an axe to keep it safe for decoration!","farmersrespite:main/get_tea_seeds"
"fishofthieves:feed_axolotl_with_lava_devilfish","[Hottest Fish]","Feed an Axolotl with a Lava Devilfish!","fishofthieves:root"
"fishofthieves:fish_collectors","[Fish Collectors]","Collects all the thieves fish!","fishofthieves:root"
"fishofthieves:legendary_fish_collectors","[Legendary Fish Collectors]","Collects all the fish variants but all are Trophy!","fishofthieves:fish_collectors"
"fishofthieves:lightning_straight_to_my_fish","[Lightning Straight to My Fish]","Witness lightning strikes on Stormfish during thunderstorm","fishofthieves:root"
"fishofthieves:lost_sally","[Is that you? Sally?]","Name the salmon Sally, you've just found my favorite fish!","fishofthieves:root"
"fishofthieves:master_fish_collectors","[Master Fish Collectors]","Collects all the thieves fish variants","fishofthieves:fish_collectors"
"fishofthieves:play_jukebox_near_fish","[Fish Dance Beach Parade]","Play a music disc near the fish to help it seem more alive","fishofthieves:root"
"fishofthieves:root","[Fish of Thieves]","Fishing and Hunting","-"
"fishofthieves:so_chill","[Oh you're so chill]","Catch a Battlegill during raids","fishofthieves:root"
"fishofthieves:spyglass_at_plentifins","[Is that a Tropical Fish?]","Look at a Plentifin through a spyglass","fishofthieves:root"
"galosphere:adventure/activate_pink_salt_chamber","[Knock Knock]","Activate a Pink Salt Chamber","minecraft:adventure/root"
"galosphere:adventure/crystal_lamps","[Balanced, As All Things Should Be]","Have all Crystal Lamps in your inventory","minecraft:adventure/root"
"galosphere:adventure/find_pink_salt_shrine","[Peaceful Revolution]","Enter a Pink Salt Shrine","minecraft:adventure/root"
"galosphere:adventure/light_spread","[Spread the Light!]","Deploy a Glow Flare","minecraft:adventure/root"
"galosphere:adventure/silver_bomb","[It's About Drive, It's About Power]","Construct a Silver Bomb","galosphere:adventure/silver_ingot"
"galosphere:adventure/silver_ingot","[Multi-Disciplined]","Obtain a Silver Ingot","minecraft:adventure/root"
"galosphere:adventure/sterling_armor","[Looking Good, Partner!]","Don a full suit of Sterling Armor","galosphere:adventure/silver_ingot"
"galosphere:adventure/summon_berserker","[Reign of Terror]","Summon the Berserker","minecraft:adventure/root"
"galosphere:adventure/use_spectre_flare","[I spy with my little eye]","Use a Spectre Flare","minecraft:adventure/root"
"galosphere:adventure/use_spectre_spyglass","[Watchdog]","Spectate a Spectre","minecraft:adventure/root"
"galosphere:adventure/warped_teleport","[What is this Place?]","Teleport to a Warped Anchor","galosphere:adventure/silver_ingot"
"galosphere:husbandry/lumiere_compost","[Fragility of Light]","Create Glowstone Dust by Composting with a Lumiere Shard","minecraft:husbandry/plant_seed"
"goodending:husbandry/brew_potion","[This cauldron is alive?]","Give a potion to the marsh","minecraft:husbandry/root"
"goodending:husbandry/capture_firefly","[Enlightenment]","Capture a firefly swarm with a glass bottle","minecraft:husbandry/root"
"goodending:nether/immunity","[advancements.immunity.immunity.title]","advancements.immunity.immunity.description","minecraft:nether/obtain_blaze_rod"
"habitat:husbandry/beginner_birdwatcher","[Beginner Birdwatcher]","Look at a passerine through a spyglass","habitat:husbandry/feathered_friend"
"habitat:husbandry/bloom_defused","[The Bloom Has Been Defused]","Shear a kabloom Bush to harvest the fruit","minecraft:husbandry/root"
"habitat:husbandry/feathered_friend","[Feathered Friend]","Feed a passerine seeds","minecraft:husbandry/root"
"habitat:husbandry/floriculture","[Floriculture]","Shear a grown edelweiss shrub to harvest the flower","minecraft:husbandry/root"
"habitat:husbandry/ornithologist","[Ornithologist]","Look at all passerine variants through a spyglass!","habitat:husbandry/beginner_birdwatcher"
"habitat:husbandry/suspicious","[Suspicious...]","Feed suspicious stew to a rafflesia","minecraft:husbandry/root"
"hearth_and_home:recipes/barred_glass","hearth_and_home:recipes/barred_glass","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/barred_glass_panes","hearth_and_home:recipes/barred_glass_panes","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/chimneys","hearth_and_home:recipes/chimneys","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/cobblestone_bricks","hearth_and_home:recipes/cobblestone_bricks","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/lattices","hearth_and_home:recipes/lattices","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/paper_lanterns","hearth_and_home:recipes/paper_lanterns","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/parquets","hearth_and_home:recipes/parquets","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/polished_calcite","hearth_and_home:recipes/polished_calcite","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/polished_calcite_slab","hearth_and_home:recipes/polished_calcite_slab","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/polished_calcite_stairs","hearth_and_home:recipes/polished_calcite_stairs","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/sanded_wood","hearth_and_home:recipes/sanded_wood","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/shingles","hearth_and_home:recipes/shingles","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/terracotta_bricks","hearth_and_home:recipes/terracotta_bricks","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/tiles","hearth_and_home:recipes/tiles","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/trims","hearth_and_home:recipes/trims","<null>","minecraft:recipes/root"
"hearth_and_home:recipes/vertical_trims","hearth_and_home:recipes/vertical_trims","<null>","minecraft:recipes/root"
"immersive_weathering:immersive_weathering/bark_off","[Bark Off]","Scrape Bark off a Log","minecraft:husbandry/safely_harvest_honey"
"immersive_weathering:immersive_weathering/bark_on","[Bark On]","Apply Bark to a Stripped Log","immersive_weathering:immersive_weathering/bark_off"
"immersive_weathering:immersive_weathering/crack_off","[Crack Off]","Repair a cracked block using its matching brick item","immersive_weathering:immersive_weathering/crack_on"
"immersive_weathering:immersive_weathering/crack_on","[Crack On]","Crack a brick block using any pickaxe","minecraft:husbandry/safely_harvest_honey"
"immersive_weathering:immersive_weathering/dirts","[Soil Superfan]","Travel the world and obtain all types of soil","minecraft:adventure/root"
"immersive_weathering:immersive_weathering/eat_azalea_flower","[Flower Devour]","Eat some Azalea Flowers, you know you want to","immersive_weathering:immersive_weathering/flower_crown"
"immersive_weathering:immersive_weathering/flower_crown","[Flower Power]","Put on a Flower Crown, the bees think it looks cute on you","minecraft:husbandry/root"
"immersive_weathering:immersive_weathering/fulgurite","[Shocking Discovery]","Find a Fulgurite, a rare block that only occurs where lightning strikes sand","minecraft:adventure/lightning_rod_with_villager_no_fire"
"immersive_weathering:immersive_weathering/ice_sickle","[Chill Out]","Slay a Blaze using its greatest fear, an Ice Sickle","immersive_weathering:immersive_weathering/icicle"
"immersive_weathering:immersive_weathering/icicle","[Monch]","Cronch Cronch Cronch","minecraft:husbandry/root"
"immersive_weathering:immersive_weathering/moss","[Perpetuate the Cycle?]","(You ate the moss.), (Tastes... mossy.), (Your HP was mossed out.)","minecraft:husbandry/root"
"immersive_weathering:immersive_weathering/moss_off","[Moss Off]","Scrape moss off a mossy block using Shears","immersive_weathering:immersive_weathering/moss_on"
"immersive_weathering:immersive_weathering/moss_off_2","[I said, MOSS OFF]","Burn the moss off a mossy block and prevent it from growing back by using a Flint and Steel","immersive_weathering:immersive_weathering/moss_off"
"immersive_weathering:immersive_weathering/moss_on","[Moss On]","Apply a Moss Clump to Stone, Stone Bricks, Cobblestone or Bricks","minecraft:husbandry/safely_harvest_honey"
"immersive_weathering:immersive_weathering/rust_off","[Rust Off-- Wait what??]","Once iron has rusted too much, its impossible to scrape the rust off :pensive:","immersive_weathering:immersive_weathering/rust_on"
"immersive_weathering:immersive_weathering/rust_on","[Rust On]","Apply a Wet Sponge to blocks made of Iron","minecraft:husbandry/safely_harvest_honey"
"immersive_weathering:immersive_weathering/sand_off","[Sand Off]","Shovel Sand off a block","immersive_weathering:immersive_weathering/sand_on"
"immersive_weathering:immersive_weathering/sand_on","[Sand On]","Apply Sand to a stone block","minecraft:husbandry/safely_harvest_honey"
"immersive_weathering:immersive_weathering/sands","[Coarse and Rough]","Obtain every Sandy block","minecraft:adventure/root"
"immersive_weathering:immersive_weathering/snow_off","[Snow Off]","Shovel Snow off a block","immersive_weathering:immersive_weathering/snow_on"
"immersive_weathering:immersive_weathering/snow_on","[Snow On]","Apply a Snowball to a stone block (try thowing it!)","minecraft:husbandry/safely_harvest_honey"
"immersive_weathering:immersive_weathering/weeds","[Weed Wacker]","Pick some Weeds. Weeds only grow on Farmlands near tall grass but they will spread","minecraft:husbandry/plant_seed"
"insects_recrafted:flyingbutter","[Flying Butter]","Catch a butterfly with a bug catcher","minecraft:husbandry/root"
